Topic Number,Play_Act,Latin Keywords,English Keywords,Themes,Topic Name
1,seneca-octavia_act2 (0.999),lis,,,
1,mussato-ecerinis_act2 (0.997),homo,,,
1,mussato-ecerinis_act3 (0.243),tyrannus,,,
1,seneca-troades_act2 (0.019),subicio,,,
1,seneca-octavia_act4 (0.000),finis,,,
1,,error,,,
1,,uis,,,
1,,servo,,,
1,,exacuo,,,
1,,omnipotens,,,
2,seneca-phoenissae_act2 (0.993),suscito,,,
2,seneca-octavia_act4 (0.988),abstineo,,,
2,seneca-hercules-furens_act3 (0.010),princeps,,,
2,seneca-agamemnon_act3 (0.004),uiolentum,,,
2,seneca-octavia_act6 (0.000),udus,,,
2,,iactatus,,,
2,,concremo,,,
2,,illucesco,,,
2,,consido,,,
2,,deditus,,,
3,seneca-phaedra_act1 (0.999),sentio,,,
3,seneca-agamemnon_act4 (0.995),insuetus,,,
3,seneca-octavia_act5 (0.611),coerceo,,,
3,seneca-thyestes_act1 (0.047),biga,,,
3,seneca-oedipus_act2 (0.038),insulto,,,
3,,remeo,,,
3,,suscipio,,,
3,,nereis,,,
3,,recolligo,,,
3,,relevo,,,
4,seneca-troades_act4 (0.998),spiro,,,
4,mussato-ecerinis_act1 (0.620),iudex,,,
4,seneca-thyestes_act4 (0.171),classis,,,
4,seneca-troades_act1 (0.112),leuo,,,
4,seneca-agamemnon_act2 (0.071),uinum,,,
4,,tuba,,,
4,,sors,,,
4,,fumus,,,
4,,lamento,,,
4,,ide,,,
5,seneca-hercules-oetaeus_act2 (0.333),nupta,,,
5,seneca-oedipus_act3 (0.165),nurus,,,
5,seneca-octavia_act4 (0.000),altrix,,,
5,seneca-octavia_act6 (0.000),cognatus,,,
5,seneca-phoenissae_act2 (0.000),neo,,,
5,,famula,,,
5,,amarus,,,
5,,cornu,,,
5,,amictus,,,
5,,gremium,,,
6,seneca-octavia_act4 (0.000),accerso,,,
6,seneca-octavia_act6 (0.000),grauida,,,
6,seneca-phoenissae_act2 (0.000),uetitus,,,
6,seneca-phoenissae_act3 (0.000),introitus,,,
6,seneca-octavia_act3 (0.000),exerceo,,,
6,,dissideo,,,
6,,furialis,,,
6,,averto,,,
6,,labrum,,,
6,,absolo,,,
7,seneca-medea_act3 (0.999),puer,,,
7,seneca-troades_act5 (0.997),nepos,,,
7,seneca-octavia_act4 (0.000),reueho,,,
7,seneca-octavia_act6 (0.000),carina,,,
7,seneca-phoenissae_act2 (0.000),adicio,,,
7,,extremus,,,
7,,extimesco,,,
7,,murus,,,
7,,aurum,,,
7,,exul,,,
8,seneca-medea_act4 (0.999),astrum,,,
8,seneca-hercules-oetaeus_act1 (0.999),uoltus,,,
8,seneca-hercules-oetaeus_act4 (0.890),ferio,,,
8,seneca-hercules-oetaeus_act5 (0.874),orbis,,,
8,seneca-hercules-furens_act4 (0.660),pestis,,,
8,,sono,,,
8,,arcus,,,
8,,gemo,,,
8,,dextera,,,
8,,laus,,,
9,seneca-octavia_act4 (0.000),afflico,,,
9,seneca-octavia_act6 (0.000),coruscus,,,
9,seneca-phoenissae_act2 (0.000),profusus,,,
9,seneca-phoenissae_act3 (0.000),inauspicatus,,,
9,seneca-octavia_act3 (0.000),cunctor,,,
9,,retento,,,
9,,congredior,,,
9,,occultum,,,
9,,discordo,,,
9,,perdendus,,,
10,seneca-hercules-furens_act1 (0.999),currus,,,
10,seneca-phaedra_act4 (0.998),fletus,,,
10,mussato-ecerinis_act4 (0.996),uotum,,,
10,seneca-thyestes_act4 (0.821),sidus,,,
10,seneca-troades_act3 (0.766),fessus,,,
10,,condo,,,
10,,recipio,,,
10,,colo,,,
10,,somnus,,,
10,,excipio,,,
11,mussato-ecerinis_act1 (0.378),grandis,,,
11,seneca-octavia_act4 (0.000),exagito,,,
11,seneca-octavia_act6 (0.000),detego,,,
11,seneca-phoenissae_act2 (0.000),luo,,,
11,seneca-phoenissae_act3 (0.000),forum,,,
11,,scando,,,
11,,insero,,,
11,,portentum,,,
11,,inuidia,,,
11,,excio,,,
12,seneca-medea_act2 (0.999),sceptrum,,,
12,seneca-thyestes_act2 (0.999),regius,,,
12,seneca-medea_act5 (0.998),tacitus,,,
12,seneca-agamemnon_act2 (0.826),culpa,,,
12,seneca-phaedra_act2 (0.716),ratis,,,
12,,fraus,,,
12,,modus,,,
12,,fateor,,,
12,,mollis,,,
12,,nocens,,,
13,seneca-oedipus_act4 (0.998),regius,,,
13,seneca-agamemnon_act1 (0.997),uelum,,,
13,seneca-agamemnon_act5 (0.871),grex,,,
13,seneca-troades_act2 (0.297),exuro,,,
13,seneca-hercules-furens_act3 (0.166),spatium,,,
13,,uirgo,,,
13,,paternus,,,
13,,irritus,,,
13,,uinclum,,,
13,,moneo,,,
14,seneca-oedipus_act1 (0.703),strages,,,
14,seneca-octavia_act4 (0.000),ala,,,
14,seneca-octavia_act6 (0.000),questus,,,
14,seneca-phoenissae_act2 (0.000),herba,,,
14,seneca-phoenissae_act3 (0.000),exorior,,,
14,,rutilo,,,
14,,profusus,,,
14,,bidens,,,
14,,expectans,,,
14,,decoro,,,
15,seneca-octavia_act1 (0.999),princeps,,,
15,seneca-octavia_act3 (0.994),imperium,,,
15,seneca-phoenissae_act4 (0.735),extinguo,,,
15,seneca-octavia_act5 (0.386),penates,,,
15,seneca-octavia_act6 (0.355),pietas,,,
15,,infelix,,,
15,,pelagus,,,
15,,inuideo,,,
15,,externus,,,
15,,iungo,,,
16,seneca-octavia_act4 (0.000),indocilis,,,
16,seneca-octavia_act6 (0.000),tropaeum,,,
16,seneca-phoenissae_act2 (0.000),cautus,,,
16,seneca-phoenissae_act3 (0.000),inspicio,,,
16,seneca-octavia_act3 (0.000),insepultus,,,
16,,cupressus,,,
16,,despondeo,,,
16,,ministro,,,
16,,tundo,,,
16,,cena,,,
17,seneca-thyestes_act5 (0.999),uoluptas,,,
17,seneca-medea_act1 (0.711),ciuitas,,,
17,mussato-ecerinis_act3 (0.356),aspicio,,,
17,seneca-thyestes_act3 (0.296),daps,,,
17,seneca-octavia_act4 (0.000),mensa,,,
17,,praeuius,,,
17,,asper,,,
17,,obsto,,,
17,,resto,,,
17,,gratia,,,
18,seneca-octavia_act7 (0.998),releuo,,,
18,seneca-oedipus_act5 (0.991),murmur,,,
18,seneca-agamemnon_act3 (0.078),parricida,,,
18,seneca-octavia_act4 (0.000),eximo,,,
18,seneca-octavia_act6 (0.000),aedon,,,
18,,congredior,,,
18,,lacero,,,
18,,moror,,,
18,,prora,,,
18,,ratis,,,
19,seneca-thyestes_act1 (0.951),sitio,,,
19,seneca-octavia_act4 (0.000),igneus,,,
19,seneca-octavia_act6 (0.000),arbor,,,
19,seneca-phoenissae_act2 (0.000),diuido,,,
19,seneca-phoenissae_act3 (0.000),nepos,,,
19,,fugax,,,
19,,cibus,,,
19,,mensa,,,
19,,uaco,,,
19,,pomum,,,
20,mussato-ecerinis_act5 (0.997),filia,,,
20,seneca-phoenissae_act3 (0.993),sobola,,,
20,seneca-medea_act1 (0.286),sacrifico,,,
20,seneca-agamemnon_act2 (0.034),genialis,,,
20,seneca-octavia_act4 (0.000),nocuus,,,
20,,repudium,,,
20,,murmuro,,,
20,,triplex,,,
20,,ultio,,,
20,,incendo,,,
21,seneca-phoenissae_act1 (0.999),pestifer,,,
21,seneca-phaedra_act5 (0.357),nex,,,
21,seneca-hercules-furens_act2 (0.275),dirigo,,,
21,seneca-octavia_act4 (0.000),adortus,,,
21,seneca-octavia_act6 (0.000),adsto,,,
21,,aufero,,,
21,,incito,,,
21,,paternus,,,
21,,impero,,,
21,,igneus,,,
